"Time","Pressure drop Monitor: Pressure drop Monitor"
1.0E-4,-1968.545507795425
0.001182352941176471,-16404.109846508247
0.0025374999999999994,-16057.4970133235
0.003473999999999998,-15840.70270595334
0.004347999999999999,-15631.449505140716
0.005825333333333336,-15294.689663383515
0.0070555555555555614,-15036.646208590982
0.00884878048780488,-14662.93211908593
0.010715000000000004,-14196.76933751936
0.013245714285714296,-13729.870901163247
0.015687692307692323,-13312.592056295012
0.0182375,-12887.826620643393
0.02074242424242423,-12499.490021022442
0.02609523809523808,-11603.096131514982
0.034043564356435636,-10712.566349558134
0.0419655737704918,-9910.395545743906
0.049699065420560753,-9350.105361363834
0.05843676470588237,-8820.398754982054
0.06489666666666669,-8470.644918108439
0.07016875000000002,-8159.331349307382
0.07496349206349208,-7920.414249962462
0.0816152777777778,-7604.619843541181
0.08779062500000004,-7354.123650632
0.09522307692307698,-7081.062822545204
0.10458906250000014,-6790.370011549802
0.11529215686274533,-6494.972761038463
0.12698627450980426,-6236.559380981164
0.13957021276595788,-5994.036368804857
0.15251956521739185,-5781.693835264788
0.16540454545454614,-5623.489696935053
0.17619649122807093,-5554.400007934021
0.18779629629629715,-5485.837224845433
0.20028275862069064,-5458.465297031516
0.21205000000000107,-5471.142852990181
0.2223851351351363,-5448.522932790446
0.22523214285714369,-5505.124650070442
0.2283206896551729,-5498.062567997681
0.2314285714285716,-5486.605323745884
0.23458214285714266,-5474.692619586382
0.23773928571428518,-5463.742000769616
0.24089285714285627,-5454.78753598892
0.24384642857142735,-5455.861355788795
0.2467064516129017,-5465.630358683203
0.24964827586206711,-5466.919126770158
0.25272857142856925,-5456.629448291268
0.2558857142857118,-5437.310791012448
0.2590392857142828,-5418.922999041485
0.2621928571428539,-5407.339007034109
0.2647590909090874,-5434.674341241797
0.26778965517240993,-5431.811553420421
0.2708499999999958,-5431.450621491419
0.27370232558139085,-5440.9437724866
0.2767079999999952,-5464.798917008881
0.28019230769230247,-5417.8940818736
0.28354814814814255,-5368.296019614405
0.28680740740740146,-5320.7009427358325
0.29006666666666037,-5274.322547112204
0.2933481481481415,-5230.115358012315
0.29672692307691606,-5187.091885459168
0.30018799999999257,-5146.98818079428
0.30366538461537684,-5107.298712887826
0.30705769230768415,-5067.481599375508
0.31050769230768377,-5030.676361180517
0.3139038461538372,-4996.541036107445
0.31730384615383683,-4965.951402638741
0.3206999999999903,-4939.246554735892
0.3240961538461438,-4916.581956588698
0.3274333333333229,-4898.058439035105
0.33070370370369295,-4883.969822689881
0.33399259259258146,-4870.314862999232
0.33726666666665517,-4858.481262792274
0.3405370370370252,-4849.743250159754
0.3438074074073952,-4842.485740338711
0.347071428571416,-4837.025263048327
0.3502285714285585,-4833.8469268514755
0.35338571428570104,-4832.793276342028
0.35656666666665304,-4830.935697461783
0.3598370370370231,-4831.9092468609015
0.36311071428569996,-4839.2457567925485
0.366264285714271,-4853.005934831999
0.3694464285714135,-4865.199153548193
0.37260357142855605,-4877.456643953842
0.37575714285712714,-4890.256890914725
0.378937037037021,-4903.647614411275
0.3822111111110947,-4917.791755516113
0.38548148148146466,-4933.187422366213
0.3887035714285543,-4949.873002110029
0.39185714285712536,-4967.514975252702
0.39501071428569645,-4986.020135857985
0.39814827586205076,-5005.7681056173315
0.40120344827584353,-5025.706789370591
0.4042482758620501,-5045.919238429767
0.4072965517241187,-5066.084343337497
0.41034137931032527,-5088.515372889304
0.4133862068965318,-5112.701832629584
0.41640333333331314,-5138.992584822229
0.41948620689653116,-5168.529549226087
0.4226249999999791,-5200.705291309408
0.4257785714285502,-5235.183419563069
0.4289321428571213,-5271.889873064733
0.43208928571426375,-5310.3920291911945
0.4351862068965294,-5350.128228950052
0.438231034482736,-5390.957469457702
0.44112187499997707,-5426.013190149675
0.44392999999997673,-5459.6219418113305
0.44687333333330975,-5493.183169805113
0.44981999999997613,-5526.82897496351
0.4527633333333091,-5563.071012322634
0.45569999999997546,-5599.683578981243
0.45856129032255577,-5639.909053976505
0.4614093749999748,-5683.117446366838
0.46411874999997454,-5728.653227601713
0.4668781249999742,-5774.192122664864
0.46963749999997395,-5819.129022058347
0.4724806451612639,-5863.236871771014
0.4753633333333066,-5907.569082933962
0.47813870967739236,-5950.487504391749
0.4809156249999727,-5994.09092735654
0.48371935483868206,-6037.10997294546
0.4865645161290043,-6082.411691517813
0.4894899999999717,-6133.908110628691
0.4924586206896266,-6191.860791643527
0.4955068965516952,-6255.0219071571055
0.4985517241379018,-6324.452118230962
0.5015965517241083,-6397.441777041335
0.5046333333333034,-6476.9957693017905
0.5074918918918616,-6584.1699588717365
0.5097859999999695,-6803.1126017551205
0.5120214285713979,-7067.743948380794
0.515274074074043,-7057.116280669419
0.5185444444444129,-7016.249554824576
0.5218185185184867,-6978.895089405838
0.5250454545454224,-6920.139002007682
0.5282599999999674,-6839.725134001297
0.531651851851819,-6767.867405883404
0.5349629629629297,-6700.231678983384
0.5383359999999664,-6637.457844127659
0.5417346153845813,-6587.373709640661
0.5451307692307349,-6547.247225572509
0.5485038461538114,-6524.666454118717
0.5516846153845802,-6511.581996046787
0.5549407407407053,-6504.677958572759
0.5581285714285356,-6497.91384724473
0.5612821428571066,-6497.225113356461
0.5644357142856777,-6497.9026637069755
0.5675137931034114,-6507.746268941394
0.5705964285713914,-6525.736138916568
0.5737535714285339,-6545.133535945666
0.576907142857105,-6567.952878766712
0.5800607142856761,-6597.267023858099
0.5832178571428186,-6633.123047415964
0.5863714285713897,-6681.704666827102
0.5894793103447883,-6741.973486293573
0.592476666666627,-6809.855754473013
