"Time","Pressure drop Monitor: Pressure drop Monitor"
1.0E-4,-1968.545507795425
0.0011647058823529414,-16404.215034073502
0.0025109374999999997,-16069.060690991648
0.003460499999999998,-15840.719533668418
0.004278846153846152,-15653.668263643227
0.005787234042553194,-15314.11462494061
0.006945098039215692,-15055.735285297353
0.008688888888888892,-14701.483500630033
0.010517142857142862,-14235.367699041386
0.01301250000000001,-13766.674362751968
0.01542894736842107,-13346.178875631584
0.017944776119402987,-12926.840748109706
0.02044358974358973,-12549.810220536163
0.02507460317460316,-11726.635801611319
0.03289137931034482,-10826.715668520936
0.04072978723404255,-10007.084213023065
0.04846034482758621,-9390.103264775084
0.056690697674418616,-8909.179794130237
0.06434000000000001,-8472.776694071854
0.06907808219178084,-8213.166034954402
0.07375144927536234,-7981.214297359854
0.08043225806451616,-7662.057216802061
0.0863382716049383,-7413.103251983168
0.09344375000000003,-7149.080907075096
0.10230000000000011,-6853.263123714664
0.1122450980392159,-6578.362662716894
0.12388301886792484,-6297.094697531872
0.13620425531914934,-6051.545529181037
0.14879130434782661,-5840.241280225567
0.1618697674418611,-5659.566687782466
0.1729738461538469,-5572.620200709893
0.1839857142857151,-5505.68469056651
0.19627021276595838,-5460.944302484205
0.20801578947368526,-5463.981623096307
0.2204238805970161,-5482.113134562653
0.2241379310344837,-5506.426979367726
0.22723103448275925,-5501.490289174613
0.230264285714286,-5490.962086742601
0.23338928571428566,-5479.176827741188
0.23651071428571388,-5467.676184019606
0.23963571428571354,-5457.9440489914205
0.24268437499999893,-5453.364477707
0.24550999999999862,-5461.385972487311
0.2483599999999983,-5468.182842935555
0.25135862068965314,-5462.361125773084
0.2544714285714262,-5446.665815707619
0.2575928571428544,-5425.843574377333
0.26071785714285406,-5412.591874075197
0.2638413793103414,-5401.477910121261
0.2663034482758584,-5431.501269714965
0.26931724137930635,-5431.9872265253725
0.27239999999999565,-5428.389183901097
0.27492962962962497,-5476.220703568579
0.27837599999999496,-5443.36074653621
0.28175769230768694,-5394.904750057745
0.2850259259259202,-5346.496276721245
0.28824074074073464,-5299.87141112528
0.29147777777777134,-5255.079574398005
0.2947653846153778,-5211.784698728854
0.2981079999999928,-5170.526892192816
0.30160799999999244,-5131.454904320727
0.30499230769229974,-5091.433615028442
0.30838399999999166,-5053.002654177059
0.3117730769230682,-5017.473445981147
0.3151346153846063,-4984.830836530746
0.31849999999999057,-4956.050478009543
0.32186153846152865,-4930.94657489897
0.3252269230769129,-4909.909079944151
0.32848518518517467,-4893.149284771336
0.33172592592591504,-4879.659918989535
0.33498518518517395,-4866.380924578724
0.3382222222222106,-4855.652286511095
0.341462962962951,-4847.620891855973
0.3446999999999877,-4840.695626019009
0.34790357142855877,-4836.091723654382
0.351024999999987,-4833.449803926576
0.35414999999998664,-4832.144732876302
0.3573296296296159,-4830.787322309331
0.3605666666666526,-4832.885551391541
0.36378214285712845,-4841.389231811803
0.3669035714285567,-4855.37511392739
0.37005714285712776,-4867.575915265466
0.373178571428556,-4879.766165779226
0.37630357142855564,-4892.422537322155
0.37947037037035425,-4905.812009376109
0.3827111111110946,-4920.065768150794
