Report Name, Value, Unit, 
heat out c, 2.142976388003102E7, W
heat out g, 1665182.2320550992, W
heat in c, -8959529.129473962, W
heat in g, -882137.8169943697, W
Total Heat source, 1.3083016011589503E7, W
Net heat source, 1.3253279165617786E7, W
T_G_avg, 821.6934408872954, C
T_C_avg, 845.4786836835418, C
T_G_max, 831.5373942815517, C
T_G_min, 816.4603089255394, C
T_C_max, 852.8772423986685, C
T_C_min, 825.5029603317422, C
V_C, 22.522902091891225, m^3
V_G, 1.4556479081175138, m^3
T_air, 200.0, C
T_steam, 300.0, C
case, 0.0, 
height, 0.35, m
K_eff, 94051.0154538, W/m-K
convergence, 1.0130140598985324, 
V_C_rzone, 8.600434396084765, m^3
V_G_rzone, 0.5451915210434829, m^3
Mass Flow air, -16.568369502237626, kg/s
Mass Flow steam, -0.6651297209228083, kg/s
Mass Flow flue, 16.574817773017564, kg/s
Mass Flow gas, 0.6586816300605182, kg/s
Total mass, 7.791749916694677, kg
A_C, 40.908400000000746, m^2
A_G, 2.7398000000000295, m^2
Solver Iteration Elapsed Time, 0.6918869018554688, s
sink_gr, -2.5104617073874094, 
velo_G, 1.168689690727261, m/s
velo_C, 1.2245384300051176, m/s
Total Solver Elapsed Time, 1.6174439732233683, hr
