time,velocity
0,0
0.0010879844,0.0425791021
0.0039892761,0.0876088
0.0076158907,0.130800551
0.0155944429,0.175830249
0.0366288078,0.219022
0.054036558,0.2410773622
0.0786975376,0.2539429902
0.1048091629,0.2576188839
0.1301954654,0.262213751
0.1708135493,0.2649706713
0.2092556644,0.2658896448
0.2462471337,0.2668086182
0.2897665093,0.2658896448
0.3180541034,0.2649706713
