"k","Z","varZ","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
5.2383,0.99885,0.00053256,71.731,10.277,-1.3075e-18,1.5867e-18,0.00082314,0,0
5.0507,0.99979,9.713e-05,53.964,10.047,-1.2782e-18,1.5511e-18,0,0,0
5.2391,0.99884,0.00053441,71.845,10.279,-0.01205,0,0.00082314,0.00025,0
5.0234,0.9999,4.4664e-05,51.827,10.022,-0.0024272,0,0,0.00025,0
5.4336,0.99728,0.0012617,99.721,10.62,-1.351e-18,1.6396e-18,0.0016555,0,0
5.4347,0.99727,0.0012664,99.986,10.623,-0.0068203,0,0.0016555,0.00025,0
5.5303,0.99532,0.0021886,131.57,10.954,-1.3935e-18,1.6912e-18,0.0024971,0,0
5.5314,0.9953,0.002197,132.02,10.957,0.0054802,0,0.0024971,0.00025,0
5.5507,0.99303,0.0032751,165.46,11.239,-1.4297e-18,1.7351e-18,0.0033481,0,0
5.552,0.993,0.0032873,166.1,11.241,0.019277,0,0.0033481,0.00025,0
5.5343,0.99049,0.0044719,200.72,11.455,-1.4572e-18,1.7685e-18,0.0042086,0,0
5.5356,0.99046,0.0044877,201.56,11.456,0.030939,0,0.0042086,0.00025,0
5.5052,0.98778,0.0057292,237.02,11.613,-1.4774e-18,1.7929e-18,0.0050787,0,0
5.5067,0.98774,0.0057482,238.03,11.614,0.039595,0,0.0050787,0.00025,0
5.4729,0.98495,0.0070051,273.85,11.721,-1.4911e-18,1.8095e-18,0.0059585,0,0
5.4746,0.9849,0.0070268,275.03,11.722,0.045604,0,0.0059585,0.00025,0
5.4423,0.98204,0.0082679,310.65,11.79,-1.4999e-18,1.8202e-18,0.0068481,0,0
5.4442,0.98199,0.0082918,311.99,11.791,0.049554,0,0.0068481,0.00025,0
5.4124,0.97907,0.0094943,346.77,11.829,-1.5048e-18,1.8262e-18,0.0077477,0,0
5.4145,0.97901,0.0095197,348.25,11.829,0.049905,0,0.0077477,0.00025,0
5.3811,0.97607,0.010668,381.59,11.849,-1.5074e-18,1.8293e-18,0.0086573,0,0
5.3832,0.97601,0.010694,383.17,11.849,0.050434,0,0.0086573,0.00025,0
5.3464,0.97304,0.011777,414.47,11.856,-1.5083e-18,1.8304e-18,0.009577,0,0
5.3487,0.97297,0.011804,416.14,11.856,0.050589,0,0.009577,0.00025,0
5.3104,0.96998,0.012816,445.37,11.851,-1.5076e-18,1.8296e-18,0.010507,0,0
5.3128,0.96991,0.012844,447.1,11.85,0.049575,0,0.010507,0.00025,0
5.2743,0.9669,0.013782,474.34,11.834,-1.5055e-18,1.827e-18,0.011447,0,0
5.2768,0.96683,0.013811,476.12,11.833,0.047299,0,0.011447,0.00025,0
5.2352,0.9638,0.014673,500.95,11.807,-1.5021e-18,1.8229e-18,0.012398,0,0
5.2377,0.96372,0.014701,502.75,11.806,0.045731,0,0.012398,0.00025,0
5.19,0.96069,0.015486,524.67,11.778,-1.4983e-18,1.8183e-18,0.01336,0,0
5.1924,0.96061,0.015514,526.47,11.776,0.044712,0,0.01336,0.00025,0
5.1392,0.95757,0.016221,545.44,11.749,-1.4947e-18,1.8139e-18,0.014332,0,0
5.1415,0.95748,0.016249,547.22,11.748,0.043316,0,0.014332,0.00025,0
5.0842,0.95444,0.016879,563.45,11.719,-1.4908e-18,1.8092e-18,0.015315,0,0
5.0864,0.95435,0.016907,565.17,11.717,0.043608,0,0.015315,0.00025,0
5.0236,0.9513,0.017463,578.37,11.688,-1.4869e-18,1.8044e-18,0.016309,0,0
5.0257,0.95121,0.01749,580.07,11.686,0.04039,0,0.016309,0.00025,0
4.958,0.94817,0.017975,590.4,11.659,-1.4832e-18,1.8e-18,0.017314,0,0
4.9601,0.94808,0.018001,592.04,11.658,0.039074,0,0.017314,0.00025,0
4.8882,0.94505,0.018418,599.63,11.631,-1.4796e-18,1.7956e-18,0.018331,0,0
4.8902,0.94495,0.018443,601.2,11.629,0.037957,0,0.018331,0.00025,0
4.8148,0.94193,0.018796,606.23,11.603,-1.4761e-18,1.7914e-18,0.019358,0,0
4.8167,0.94183,0.018821,607.74,11.602,0.036892,0,0.019358,0.00025,0
4.7385,0.93882,0.019113,610.38,11.576,-1.4727e-18,1.7872e-18,0.020397,0,0
4.7403,0.93871,0.019137,611.81,11.575,0.036023,0,0.020397,0.00025,0
4.6594,0.93571,0.019374,611.99,11.549,-1.4692e-18,1.783e-18,0.021448,0,0
4.6611,0.93561,0.019398,613.35,11.548,0.035123,0,0.021448,0.00025,0
4.5785,0.93262,0.019583,611.81,11.522,-1.4658e-18,1.7788e-18,0.022511,0,0
4.5801,0.93252,0.019606,613.11,11.521,0.034094,0,0.022511,0.00025,0
4.4978,0.92953,0.019745,610.38,11.494,-1.4622e-18,1.7744e-18,0.023585,0,0
4.4993,0.92942,0.019768,611.61,11.492,0.033015,0,0.023585,0.00025,0
4.4178,0.92644,0.019866,607.35,11.461,-1.458e-18,1.7694e-18,0.024671,0,0
4.4192,0.92633,0.019888,608.48,11.459,0.033974,0,0.024671,0.00025,0
4.3365,0.92335,0.01995,602.53,11.428,-1.4538e-18,1.7643e-18,0.02577,0,0
4.3379,0.92324,0.019971,603.6,11.427,0.031919,0,0.02577,0.00025,0
4.2546,0.92026,0.019999,596.37,11.398,-1.45e-18,1.7597e-18,0.02688,0,0
4.2559,0.92014,0.02002,597.39,11.396,0.031066,0,0.02688,0.00025,0
4.1723,0.91716,0.020015,589.04,11.369,-1.4463e-18,1.7551e-18,0.028004,0,0
4.1736,0.91705,0.020036,590,11.367,0.030234,0,0.028004,0.00025,0
4.09,0.91406,0.020008,580.7,11.34,-1.4426e-18,1.7507e-18,0.029139,0,0
4.0912,0.91395,0.020029,581.6,11.339,0.029403,0,0.029139,0.00025,0
4.0078,0.91096,0.019983,571.47,11.312,-1.4391e-18,1.7464e-18,0.030287,0,0
4.009,0.91085,0.020003,572.32,11.31,0.028947,0,0.030287,0.00025,0
3.9259,0.90786,0.019934,561.47,11.285,-1.4356e-18,1.7422e-18,0.031449,0,0
3.9271,0.90774,0.019953,562.27,11.283,0.028414,0,0.031449,0.00025,0
3.8448,0.90475,0.019864,550.86,11.259,-1.4323e-18,1.7382e-18,0.032623,0,0
3.846,0.90463,0.019883,551.61,11.257,0.028008,0,0.032623,0.00025,0
3.7647,0.90163,0.019779,539.78,11.232,-1.4289e-18,1.7341e-18,0.03381,0,0
3.7659,0.90152,0.019798,540.49,11.231,0.027321,0,0.03381,0.00025,0
3.686,0.89851,0.019681,528.34,11.207,-1.4257e-18,1.7301e-18,0.03501,0,0
3.6871,0.89839,0.0197,529,11.205,0.026818,0,0.03501,0.00025,0
3.6083,0.89538,0.019572,516.59,11.181,-1.4224e-18,1.7262e-18,0.036224,0,0
3.6094,0.89526,0.019591,517.22,11.179,0.0261,0,0.036224,0.00025,0
3.5317,0.89224,0.019454,504.58,11.157,-1.4194e-18,1.7225e-18,0.037451,0,0
3.5328,0.89212,0.019473,505.17,11.156,0.025619,0,0.037451,0.00025,0
3.4568,0.88909,0.019329,492.46,11.134,-1.4164e-18,1.7189e-18,0.038692,0,0
3.4579,0.88897,0.019348,493.02,11.132,0.024843,0,0.038692,0.00025,0
3.385,0.88592,0.019198,480.52,11.107,-1.4129e-18,1.7147e-18,0.039947,0,0
3.386,0.8858,0.019217,481.04,11.105,0.024824,0,0.039947,0.00025,0
3.3153,0.88274,0.019064,468.62,11.076,-1.4091e-18,1.71e-18,0.041216,0,0
3.3164,0.88261,0.019082,469.12,11.075,0.023484,0,0.041216,0.00025,0
3.2473,0.87953,0.018927,456.78,11.046,-1.4053e-18,1.7054e-18,0.042499,0,0
3.2484,0.8794,0.018945,457.26,11.045,0.022789,0,0.042499,0.00025,0
3.1809,0.8763,0.018788,444.99,11.018,-1.4016e-18,1.701e-18,0.043797,0,0
3.1819,0.87617,0.018807,445.45,11.016,0.021921,0,0.043797,0.00025,0
3.1157,0.87305,0.018649,433.27,10.991,-1.3982e-18,1.6968e-18,0.045109,0,0
3.1168,0.87292,0.018667,433.7,10.989,0.021416,0,0.045109,0.00025,0
3.052,0.86978,0.01851,421.67,10.963,-1.3947e-18,1.6925e-18,0.046435,0,0
3.0531,0.86965,0.018528,422.08,10.962,0.020965,0,0.046435,0.00025,0
2.9898,0.86649,0.018372,410.21,10.935,-1.3911e-18,1.6882e-18,0.047776,0,0
2.9909,0.86636,0.01839,410.61,10.934,0.02061,0,0.047776,0.00025,0
2.9294,0.86316,0.018236,398.95,10.907,-1.3875e-18,1.6838e-18,0.049133,0,0
2.9304,0.86303,0.018254,399.34,10.905,0.020346,0,0.049133,0.00025,0
2.8708,0.85982,0.018102,387.93,10.879,-1.384e-18,1.6795e-18,0.050504,0,0
2.8719,0.85969,0.018121,388.3,10.877,0.019771,0,0.050504,0.00025,0
2.814,0.85644,0.017971,377.16,10.851,-1.3804e-18,1.6752e-18,0.051891,0,0
2.8151,0.85631,0.01799,377.51,10.849,0.019408,0,0.051891,0.00025,0
2.7588,0.85303,0.017844,366.6,10.823,-1.3769e-18,1.671e-18,0.053293,0,0
2.7598,0.8529,0.017863,366.94,10.822,0.018947,0,0.053293,0.00025,0
2.7051,0.84959,0.017721,356.3,10.796,-1.3734e-18,1.6667e-18,0.054711,0,0
2.7062,0.84946,0.017739,356.63,10.794,0.018652,0,0.054711,0.00025,0
2.653,0.84612,0.017602,346.24,10.769,-1.3699e-18,1.6625e-18,0.056144,0,0
2.6541,0.84599,0.01762,346.56,10.767,0.018249,0,0.056144,0.00025,0
2.6028,0.84261,0.017488,336.49,10.741,-1.3664e-18,1.6582e-18,0.057594,0,0
2.6039,0.84248,0.017506,336.79,10.739,0.018521,0,0.057594,0.00025,0
2.5543,0.83907,0.017379,327.01,10.712,-1.3628e-18,1.6538e-18,0.05906,0,0
2.5554,0.83894,0.017397,327.31,10.711,0.01739,0,0.05906,0.00025,0
2.5075,0.83549,0.017275,317.83,10.684,-1.3592e-18,1.6495e-18,0.060542,0,0
2.5086,0.83535,0.017294,318.12,10.683,0.016932,0,0.060542,0.00025,0
2.4623,0.83187,0.017177,308.93,10.656,-1.3556e-18,1.6451e-18,0.062041,0,0
2.4634,0.83173,0.017195,309.21,10.654,0.01662,0,0.062041,0.00025,0
2.4188,0.8282,0.017084,300.32,10.627,-1.3519e-18,1.6407e-18,0.063556,0,0
2.4199,0.82807,0.017103,300.6,10.626,0.016179,0,0.063556,0.00025,0
2.3767,0.8245,0.016997,291.99,10.598,-1.3482e-18,1.6362e-18,0.065089,0,0
2.3778,0.82436,0.017016,292.25,10.597,0.015888,0,0.065089,0.00025,0
2.3361,0.82075,0.016917,283.91,10.569,-1.3445e-18,1.6317e-18,0.066638,0,0
2.3372,0.82061,0.016935,284.17,10.568,0.015543,0,0.066638,0.00025,0
2.2969,0.81695,0.016842,276.11,10.54,-1.3408e-18,1.6272e-18,0.068205,0,0
2.2981,0.81682,0.016861,276.36,10.538,0.015329,0,0.068205,0.00025,0
2.2592,0.81311,0.016773,268.57,10.511,-1.3371e-18,1.6227e-18,0.069789,0,0
2.2604,0.81297,0.016792,268.81,10.509,0.014938,0,0.069789,0.00025,0
2.2232,0.80922,0.016711,261.32,10.481,-1.3333e-18,1.6181e-18,0.071391,0,0
2.2244,0.80908,0.01673,261.56,10.48,0.014412,0,0.071391,0.00025,0
2.1887,0.80527,0.016655,254.35,10.451,-1.3295e-18,1.6134e-18,0.073011,0,0
2.1899,0.80514,0.016674,254.58,10.449,0.014023,0,0.073011,0.00025,0
2.1555,0.80128,0.016605,247.62,10.42,-1.3256e-18,1.6087e-18,0.074649,0,0
2.1567,0.80114,0.016624,247.84,10.419,0.013848,0,0.074649,0.00025,0
2.1236,0.79722,0.016562,241.12,10.389,-1.3217e-18,1.604e-18,0.076305,0,0
2.1247,0.79709,0.016581,241.34,10.388,0.013636,0,0.076305,0.00025,0
2.0931,0.79311,0.016525,234.88,10.358,-1.3177e-18,1.5991e-18,0.077979,0,0
2.0943,0.79298,0.016544,235.1,10.357,0.013387,0,0.077979,0.00025,0
2.0643,0.78894,0.016495,228.92,10.326,-1.3137e-18,1.5942e-18,0.079673,0,0
2.0655,0.78881,0.016513,229.13,10.325,0.013013,0,0.079673,0.00025,0
2.0368,0.78471,0.01647,223.19,10.294,-1.3095e-18,1.5892e-18,0.081385,0,0
2.038,0.78457,0.016489,223.4,10.292,0.012728,0,0.081385,0.00025,0
2.0104,0.78042,0.016452,217.67,10.261,-1.3054e-18,1.5842e-18,0.083116,0,0
2.0115,0.78028,0.01647,217.87,10.26,0.012507,0,0.083116,0.00025,0
1.985,0.77607,0.016439,212.34,10.229,-1.3012e-18,1.5791e-18,0.084867,0,0
1.9862,0.77593,0.016457,212.55,10.227,0.012346,0,0.084867,0.00025,0
1.9611,0.77165,0.016432,207.25,10.196,-1.297e-18,1.574e-18,0.086637,0,0
1.9622,0.77151,0.01645,207.45,10.194,0.012096,0,0.086637,0.00025,0
1.9385,0.76716,0.016431,202.39,10.162,-1.2927e-18,1.5688e-18,0.088427,0,0
1.9397,0.76702,0.016449,202.58,10.16,0.011792,0,0.088427,0.00025,0
1.9171,0.7626,0.016434,197.72,10.128,-1.2884e-18,1.5635e-18,0.090237,0,0
1.9182,0.76247,0.016452,197.91,10.126,0.01153,0,0.090237,0.00025,0
1.8967,0.75798,0.016442,193.23,10.093,-1.284e-18,1.5583e-18,0.092067,0,0
1.8978,0.75785,0.01646,193.42,10.092,0.011354,0,0.092067,0.00025,0
1.8774,0.75329,0.016455,188.93,10.059,-1.2796e-18,1.5529e-18,0.093917,0,0
1.8786,0.75315,0.016473,189.12,10.057,0.011146,0,0.093917,0.00025,0
1.8594,0.74853,0.016472,184.83,10.023,-1.2751e-18,1.5475e-18,0.095789,0,0
1.8606,0.74839,0.01649,185.02,10.022,0.010922,0,0.095789,0.00025,0
1.8425,0.74369,0.016494,180.91,9.9875,-1.2706e-18,1.5419e-18,0.097681,0,0
1.8437,0.74356,0.016511,181.09,9.986,0.010687,0,0.097681,0.00025,0
1.8266,0.73879,0.016519,177.16,9.951,-1.2659e-18,1.5363e-18,0.099594,0,0
1.8278,0.73865,0.016536,177.33,9.9496,0.010493,0,0.099594,0.00025,0
1.8118,0.73381,0.016547,173.56,9.9141,-1.2612e-18,1.5306e-18,0.10153,0,0
1.813,0.73368,0.016564,173.74,9.9126,0.010289,0,0.10153,0.00025,0
1.798,0.72876,0.016577,170.13,9.8765,-1.2564e-18,1.5248e-18,0.10348,0,0
1.7992,0.72862,0.016594,170.3,9.8751,0.01011,0,0.10348,0.00025,0
1.7853,0.72363,0.016611,166.85,9.8383,-1.2516e-18,1.5189e-18,0.10546,0,0
1.7864,0.7235,0.016627,167.02,9.8368,0.0098929,0,0.10546,0.00025,0
1.7736,0.71843,0.016645,163.73,9.7994,-1.2466e-18,1.5129e-18,0.10746,0,0
1.7748,0.7183,0.016662,163.9,9.798,0.0096592,0,0.10746,0.00025,0
1.7629,0.71316,0.016682,160.75,9.7599,-1.2416e-18,1.5068e-18,0.10948,0,0
1.764,0.71303,0.016698,160.91,9.7585,0.0094345,0,0.10948,0.00025,0
1.7528,0.70782,0.016718,157.88,9.7203,-1.2366e-18,1.5007e-18,0.11153,0,0
1.754,0.70769,0.016734,158.04,9.7187,0.0094652,0,0.11153,0.00025,0
1.7437,0.7024,0.016756,155.14,9.6798,-1.2314e-18,1.4944e-18,0.1136,0,0
1.7449,0.70228,0.016771,155.29,9.6783,0.0092348,0,0.1136,0.00025,0
1.7356,0.69691,0.016793,152.53,9.6383,-1.2261e-18,1.488e-18,0.11569,0,0
1.7368,0.69679,0.016808,152.68,9.6368,0.0089941,0,0.11569,0.00025,0
1.7282,0.69136,0.016829,150.02,9.5963,-1.2208e-18,1.4815e-18,0.1178,0,0
1.7293,0.69123,0.016844,150.17,9.5949,0.0088103,0,0.1178,0.00025,0
1.7214,0.68573,0.016864,147.61,9.5538,-1.2154e-18,1.4749e-18,0.11994,0,0
1.7225,0.68561,0.016879,147.76,9.5523,0.0087431,0,0.11994,0.00025,0
1.7155,0.68003,0.016898,145.32,9.5103,-1.2099e-18,1.4682e-18,0.1221,0,0
1.7166,0.67991,0.016913,145.46,9.5089,0.0084002,0,0.1221,0.00025,0
1.7104,0.67426,0.01693,143.12,9.4657,-1.2042e-18,1.4614e-18,0.12429,0,0
1.7115,0.67414,0.016944,143.26,9.4644,0.0081772,0,0.12429,0.00025,0
1.7058,0.66843,0.016959,141,9.4209,-1.1985e-18,1.4544e-18,0.1265,0,0
1.7068,0.66831,0.016973,141.13,9.4195,0.0080508,0,0.1265,0.00025,0
1.7018,0.66253,0.016986,138.95,9.3745,-1.1926e-18,1.4473e-18,0.12873,0,0
1.7028,0.66241,0.016999,139.08,9.3732,0.0079351,0,0.12873,0.00025,0
1.6984,0.65657,0.017008,137,9.327,-1.1865e-18,1.4399e-18,0.13099,0,0
1.6994,0.65646,0.017021,137.12,9.3256,0.007826,0,0.13099,0.00025,0
1.6956,0.65053,0.017027,135.1,9.2766,-1.1801e-18,1.4322e-18,0.13328,0,0
1.6966,0.65042,0.01704,135.22,9.2753,0.007717,0,0.13328,0.00025,0
1.6932,0.64447,0.017041,133.28,9.2255,-1.1736e-18,1.4243e-18,0.13559,0,0
1.6942,0.64436,0.017053,133.4,9.2241,0.0076469,0,0.13559,0.00025,0
1.6913,0.63828,0.01705,131.49,9.1712,-1.1667e-18,1.4159e-18,0.13792,0,0
1.6923,0.63817,0.017062,131.61,9.1699,0.007442,0,0.13792,0.00025,0
1.6897,0.63218,0.017054,129.8,9.1176,-1.1599e-18,1.4076e-18,0.14028,0,0
1.6906,0.63207,0.017065,129.91,9.1163,0.0073787,0,0.14028,0.00025,0
1.6883,0.62573,0.017051,128.06,9.0598,-1.1525e-18,1.3987e-18,0.14267,0,0
1.6893,0.62563,0.017062,128.16,9.0587,0.0069685,0,0.14267,0.00025,0
1.6873,0.61981,0.017042,126.49,9.0063,-1.1457e-18,1.3904e-18,0.14509,0,0
1.6882,0.61971,0.017053,126.6,9.0053,0.0071156,0,0.14509,0.00025,0
1.6864,0.61266,0.017011,124.64,8.9432,-1.1377e-18,1.3807e-18,0.14753,0,0
1.6872,0.61256,0.017021,124.74,8.9421,0.0066087,0,0.14753,0.00025,0
1.6863,0.60783,0.016985,123.36,8.8986,-1.132e-18,1.3738e-18,0.15,0,0
1.6869,0.60775,0.016993,123.44,8.8977,0.0049078,0,0.15,0.00025,0
5.2418,0.99883,0.00054041,72.215,10.285,-0.022778,0,0.00082314,0.0005,0
5.0278,0.99989,5.2719e-05,52.172,10.026,-0.0054759,0,0,0.0005,0
5.4382,0.99724,0.0012817,100.84,10.631,-0.012421,0,0.0016555,0.0005,0
5.5351,0.99524,0.002224,133.46,10.965,0.010817,0,0.0024971,0.0005,0
5.556,0.99292,0.0033267,168.19,11.247,0.03673,0,0.0033481,0.0005,0
5.5401,0.99035,0.0045389,204.28,11.461,0.058507,0,0.0042086,0.0005,0
5.5117,0.98761,0.0058097,241.36,11.617,0.075288,0,0.0050787,0.0005,0
5.4802,0.98475,0.0070969,278.9,11.723,0.087301,0,0.0059585,0.0005,0
5.4504,0.98182,0.0083688,316.35,11.791,0.093901,0,0.0068481,0.0005,0
5.4211,0.97883,0.0096021,353.03,11.829,0.097085,0,0.0077477,0.0005,0
5.3902,0.9758,0.010781,388.28,11.848,0.098113,0,0.0086573,0.0005,0
5.3559,0.97275,0.011893,421.51,11.854,0.098276,0,0.009577,0.0005,0
5.3203,0.96968,0.012935,452.67,11.849,0.096709,0,0.010507,0.0005,0
5.2845,0.96658,0.013903,481.84,11.83,0.092892,0,0.011447,0.0005,0
5.2453,0.96346,0.014793,508.52,11.802,0.08958,0,0.012398,0.0005,0
5.1998,0.96033,0.015606,532.23,11.772,0.087037,0,0.01336,0.0005,0
5.1488,0.9572,0.016339,552.93,11.743,0.084465,0,0.014332,0.0005,0
5.0933,0.95405,0.016996,570.73,11.713,0.081517,0,0.015315,0.0005,0
5.0325,0.95091,0.017577,585.5,11.682,0.078744,0,0.016309,0.0005,0
4.9665,0.94777,0.018086,597.29,11.653,0.076456,0,0.017314,0.0005,0
4.8963,0.94463,0.018526,606.24,11.625,0.074405,0,0.018331,0.0005,0
4.8226,0.9415,0.018901,612.56,11.597,0.07249,0,0.019358,0.0005,0
4.7459,0.93838,0.019216,616.37,11.57,0.070655,0,0.020397,0.0005,0
4.6663,0.93527,0.019474,617.69,11.543,0.069027,0,0.021448,0.0005,0
4.5851,0.93217,0.01968,617.26,11.516,0.067232,0,0.022511,0.0005,0
4.5042,0.92908,0.01984,615.52,11.486,0.065276,0,0.023585,0.0005,0
4.4238,0.92598,0.019959,612.11,11.454,0.063683,0,0.024671,0.0005,0
4.3424,0.92288,0.02004,607.04,11.422,0.062149,0,0.02577,0.0005,0
4.2602,0.91978,0.020088,600.62,11.391,0.060633,0,0.02688,0.0005,0
4.1777,0.91668,0.020102,593.05,11.362,0.059098,0,0.028004,0.0005,0
4.0952,0.91358,0.020094,584.46,11.333,0.057638,0,0.029139,0.0005,0
4.0129,0.91047,0.020067,575,11.305,0.056505,0,0.030287,0.0005,0
3.9309,0.90736,0.020016,564.79,11.278,0.055431,0,0.031449,0.0005,0
3.8497,0.90425,0.019946,553.99,11.252,0.054413,0,0.032623,0.0005,0
3.7696,0.90113,0.01986,542.73,11.226,0.053147,0,0.03381,0.0005,0
3.6907,0.898,0.019761,531.12,11.2,0.051896,0,0.03501,0.0005,0
3.6129,0.89487,0.019652,519.21,11.174,0.05058,0,0.036224,0.0005,0
3.5362,0.89173,0.019533,507.04,11.151,0.049422,0,0.037451,0.0005,0
3.4613,0.88857,0.019408,494.8,11.127,0.048159,0,0.038692,0.0005,0
3.3894,0.8854,0.019277,482.71,11.1,0.046536,0,0.039947,0.0005,0
3.3198,0.88221,0.019142,470.73,11.069,0.045506,0,0.041216,0.0005,0
3.2519,0.879,0.019005,458.79,11.04,0.04421,0,0.042499,0.0005,0
3.1853,0.87577,0.018866,446.9,11.011,0.042762,0,0.043797,0.0005,0
3.1201,0.87252,0.018727,435.09,10.984,0.041882,0,0.045109,0.0005,0
3.0564,0.86924,0.018588,423.4,10.957,0.041138,0,0.046435,0.0005,0
2.9943,0.86594,0.01845,411.88,10.928,0.040474,0,0.047776,0.0005,0
2.9339,0.86262,0.018314,400.55,10.9,0.039709,0,0.049133,0.0005,0
2.8753,0.85927,0.01818,389.47,10.872,0.038628,0,0.050504,0.0005,0
2.8185,0.85589,0.018049,378.63,10.844,0.0377,0,0.051891,0.0005,0
2.7633,0.85248,0.017922,368.02,10.817,0.036867,0,0.053293,0.0005,0
2.7096,0.84904,0.017799,357.67,10.789,0.036155,0,0.054711,0.0005,0
2.6576,0.84556,0.01768,347.56,10.762,0.035436,0,0.056144,0.0005,0
2.6073,0.84205,0.017566,337.76,10.734,0.034575,0,0.057594,0.0005,0
2.5589,0.83851,0.017457,328.26,10.706,0.033752,0,0.05906,0.0005,0
2.5121,0.83492,0.017353,319.04,10.678,0.032925,0,0.060542,0.0005,0
2.467,0.8313,0.017255,310.11,10.649,0.032224,0,0.062041,0.0005,0
2.4234,0.82764,0.017163,301.46,10.62,0.03142,0,0.063556,0.0005,0
2.3814,0.82393,0.017076,293.09,10.592,0.030754,0,0.065089,0.0005,0
2.3408,0.82018,0.016995,284.99,10.563,0.030118,0,0.066638,0.0005,0
2.3016,0.81638,0.01692,277.16,10.533,0.029551,0,0.068205,0.0005,0
2.264,0.81254,0.016852,269.59,10.504,0.028834,0,0.069789,0.0005,0
2.228,0.80864,0.01679,262.32,10.475,0.02787,0,0.071391,0.0005,0
2.1935,0.8047,0.016734,255.32,10.444,0.027153,0,0.073011,0.0005,0
2.1603,0.8007,0.016684,248.57,10.414,0.026728,0,0.074649,0.0005,0
2.1284,0.79665,0.016641,242.06,10.383,0.026346,0,0.076305,0.0005,0
2.098,0.79254,0.016604,235.8,10.352,0.025836,0,0.077979,0.0005,0
2.0692,0.78837,0.016573,229.82,10.32,0.025129,0,0.079673,0.0005,0
2.0417,0.78413,0.016548,224.08,10.287,0.024525,0,0.081385,0.0005,0
2.0152,0.77984,0.016529,218.53,10.255,0.024135,0,0.083116,0.0005,0
1.9899,0.77549,0.016516,213.2,10.222,0.023799,0,0.084867,0.0005,0
1.966,0.77107,0.016509,208.09,10.189,0.023333,0,0.086637,0.0005,0
1.9434,0.76658,0.016507,203.21,10.155,0.022723,0,0.088427,0.0005,0
1.922,0.76203,0.01651,198.53,10.121,0.022249,0,0.090237,0.0005,0
1.9016,0.75741,0.016518,194.03,10.087,0.021892,0,0.092067,0.0005,0
1.8823,0.75272,0.01653,189.72,10.052,0.021509,0,0.093917,0.0005,0
1.8643,0.74796,0.016547,185.6,10.017,0.021048,0,0.095789,0.0005,0
1.8474,0.74313,0.016567,181.66,9.9811,0.020618,0,0.097681,0.0005,0
1.8315,0.73823,0.016591,177.9,9.9447,0.020226,0,0.099594,0.0005,0
1.8167,0.73325,0.016618,174.29,9.9078,0.019854,0,0.10153,0.0005,0
1.8029,0.7282,0.016648,170.84,9.8703,0.019491,0,0.10348,0.0005,0
1.7902,0.72308,0.01668,167.56,9.8321,0.019091,0,0.10546,0.0005,0
1.7785,0.71789,0.016714,164.42,9.7932,0.018614,0,0.10746,0.0005,0
1.7677,0.71262,0.016749,161.42,9.7538,0.018223,0,0.10948,0.0005,0
1.7576,0.70728,0.016785,158.54,9.714,0.017912,0,0.11153,0.0005,0
1.7485,0.70187,0.016821,155.79,9.6735,0.017659,0,0.1136,0.0005,0
1.7403,0.69639,0.016857,153.16,9.632,0.017187,0,0.11569,0.0005,0
1.7328,0.69084,0.016892,150.64,9.5902,0.016869,0,0.1178,0.0005,0
1.726,0.68521,0.016926,148.21,9.5477,0.016539,0,0.11994,0.0005,0
1.72,0.67952,0.016958,145.9,9.5045,0.016186,0,0.1221,0.0005,0
1.7149,0.67376,0.016989,143.69,9.46,0.015785,0,0.12429,0.0005,0
1.7102,0.66794,0.017016,141.55,9.4151,0.015529,0,0.1265,0.0005,0
1.7061,0.66204,0.017041,139.49,9.3688,0.01532,0,0.12873,0.0005,0
1.7026,0.65609,0.017063,137.52,9.3213,0.015099,0,0.13099,0.0005,0
1.6998,0.65006,0.01708,135.61,9.271,0.014905,0,0.13328,0.0005,0
1.6973,0.64401,0.017092,133.78,9.2198,0.014813,0,0.13559,0.0005,0
1.6953,0.63782,0.0171,131.97,9.1657,0.014479,0,0.13792,0.0005,0
1.6936,0.63174,0.017102,130.26,9.1121,0.014296,0,0.14028,0.0005,0
1.6922,0.6253,0.017097,128.5,9.0548,0.013817,0,0.14267,0.0005,0
1.691,0.61938,0.017087,126.92,9.0016,0.0138,0,0.14509,0.0005,0
1.69,0.61225,0.017053,125.05,8.9382,0.012849,0,0.14753,0.0005,0
1.6897,0.60744,0.017025,123.74,8.8938,0.010863,0,0.15,0.0005,0
5.2465,0.9988,0.00055107,72.869,10.295,-0.033929,0,0.00082314,0.00075,0
5.0307,0.99987,5.7698e-05,52.404,10.03,-0.0090499,0,0,0.00075,0
5.4443,0.99717,0.0013088,102.37,10.644,-0.017257,0,0.0016555,0.00075,0
5.5416,0.99514,0.002272,136.04,10.978,0.017409,0,0.0024971,0.00075,0
5.5631,0.99277,0.0033968,171.91,11.258,0.055609,0,0.0033481,0.00075,0
5.5482,0.99016,0.0046297,209.15,11.469,0.087514,0,0.0042086,0.00075,0
5.5208,0.98738,0.0059186,247.29,11.622,0.11154,0,0.0050787,0.00075,0
5.4904,0.98449,0.0072209,285.82,11.726,0.12833,0,0.0059585,0.00075,0
5.4616,0.98152,0.0085049,324.13,11.792,0.13818,0,0.0068481,0.00075,0
