case,T_G_avg,T_C_avg,T_C_max,T_G_min
15,792.0102187889,858.5114387933,878.5002685547,772.7478271484
20,806.7762097995,857.1639924768,872.5306640625,792.2185302734
40,828.8413164492,854.4402914072,862.4210449219,821.4753662109
60,836.0567902631,853.2168448315,858.6064697266,831.1251464844
80,839.9119280755,852.8166500945,856.8830810547,836.2040039063
100.0, 842.3383522458317, 852.6773872538853, 855.94375, 839.3694091796875
10.0, 762.7825625491981, 860.5854912771027, 889.1740966796875, 734.3113647460938
30.0, 821.5385767694241, 855.4851073035899, 865.989404296875, 811.7578369140625
5.0, 680.0436172749536, 865.2126750709436, 915.144921875, 625.3529296875
