case,heat out c,heat out g,heat in c,heat in g,Total Heat source,Net heat source,T_G_avg,T_C_avg,T_G_max,T_G_min,T_C_max,T_C_min,V_C,V_G,T_air,T_steam,height,K_eff,convergence,V_C_rzone,V_G_rzone,Mass Flow air,Mass Flow steam,Mass Flow flue,Mass Flow gas,Total mass,A_C,A_G,Solver Iteration Elapsed Time,sink_gr,velo_G,velo_C,Total Solver Elapsed Time
0.0,21594825.492979493,1342884.5044248963,-8958282.314835375,-884795.6505143775,13083016.011586033,13094632.032054635,608.1747523943378,854.6544794901021,720.4394363999257,548.3256104308947,914.113653011068,652.0357982347037,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,6270.06769692,1.0008878702325454,8.600434396084765,0.5451915210434829,-16.568369511200054,-0.6651297243813477,16.571400534175375,0.6620988678003004,7.823270815534451,40.908400000000746,2.739800000000029,0.8979780673980713,-2.0864446456304906,0.9526748654216278,1.234149599725003,1.4346293681859967
1.0,21439552.023221936,1517541.1659669706,-8959442.75706454,-883357.755345813,13083016.011583673,13114292.676778553,723.8575855901909,846.2067512941836,776.5453344098287,695.8072790695766,880.7175881935377,744.2650846294591,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,15675.169242299999,1.0023906311180226,8.600434396084765,0.5451915210434829,-16.568369566949613,-0.6651297224488387,16.573524406293537,0.6599750552294802,7.820919540420435,40.908400000000746,2.739800000000029,0.8024361133575441,-2.316173927753911,1.0699510433136248,1.225336675785356,2.4494543862342835
2.0,21388382.708656304,1597191.8629923996,-8959826.785486437,-882700.0726000825,13083016.011587467,13143047.713562185,776.6466066404922,843.4088603283934,804.7431512373076,761.7003261541188,863.361641379361,787.5196443732002,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,31350.338484599997,1.0045885216315218,8.600434396084765,0.5451915210434829,-16.56836954000026,-0.6651297216120943,16.574285460660388,0.6592139711837409,7.8188236748302815,40.908400000000746,2.739800000000029,0.6454219818115234,-2.4210052460650067,1.1232634519339135,1.2224064448024978,3.245767941143777
3.0,21385676.12184913,1628311.7715206489,-8959849.66799493,-882442.8131669767,13083016.01158948,13171695.412207875,797.2706117720834,843.2232411431357,816.449953708407,787.0712681229357,857.2347330774127,804.6928576053144,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,47025.507726899996,1.0067782077572816,8.600434396084765,0.5451915210434829,-16.56836952998623,-0.6651297212965762,16.57454746122147,0.658951962876446,7.813260900106492,40.908400000000746,2.739800000000029,0.6376159191131592,-2.4619615207559007,1.1440606081804832,1.222203412131801,3.6356373294856814
4.0,21396771.903972644,1645605.3815419972,-8959769.759616075,-882299.8097017371,13083016.011588752,13200307.71619683,808.7283757972338,843.779740682155,823.2955545685197,800.9831203896698,854.5765217374907,814.3660508420118,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,62700.676969199994,1.0089651884935542,8.600434396084765,0.5451915210434829,-16.568369524517507,-0.665129721123197,16.574681006630954,0.6588184135430902,7.806239180884755,40.908400000000746,2.739800000000029,0.7182841300964355,-2.484714973723127,1.15561248425651,1.2227767397556462,3.2643604897128213
5.0,21413441.774471857,1657030.240277277,-8959648.326019969,-882205.2868565582,13083016.011589315,13228618.401872605,816.2953574259071,844.6360373379969,828.0432154141893,810.0498503307311,853.4192755570367,820.8420305867693,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,78375.8462115,1.0111291150415402,8.600434396084765,0.5451915210434829,-16.56836951972317,-0.6651297210096649,16.57476263232734,0.6587367823254294,7.7986087433626246,40.908400000000746,2.739800000000029,0.6121349334716797,-2.4997418987159916,1.1632441202788664,1.2236641396006396,2.368584673206012
6.0,21429763.88003102,1665182.232055099,-8959529.129473962,-882137.8169943697,13083016.011589505,13253279.165617784,821.6934408872954,845.4786836835417,831.5373942815518,816.4603089255394,852.8772423986685,825.5029603317422,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,94051.01545379999,1.0130140598985324,8.600434396084765,0.5451915210434829,-16.568369502237626,-0.6651297209228083,16.574817773017564,0.6586816300605182,7.791749916694678,40.908400000000746,2.739800000000029,0.6918869018554688,-2.5104617073874094,1.168689690727261,1.2245384300051176,1.6174439732233683
7.0,21440034.954974543,1674663.3419035648,-8959454.461194072,-882059.3714725195,13083016.011588465,13273184.464211514,827.9742770125541,846.0032512733952,835.4073394930748,824.0218326645512,851.6628595560591,830.8535942618342,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,125401.35393800001,1.0145355208962985,8.600434396084765,0.5451915210434829,-16.56836940747743,-0.665129713627202,16.574885343788143,0.6586138857661424,7.786685514991517,40.908400000000746,2.739800000000029,0.8204648494720459,-2.522934534464074,1.1750170506933617,1.2250806536803216,1.0189599642488691
8.0,21438739.24035517,1679771.594251239,-8959464.402492324,-882017.1288713174,13083016.011585882,13277029.303242767,831.3604007937762,845.9287754451723,837.3352121372618,828.1834438848489,850.5617061654308,833.680360432316,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,156751.692423,1.0148294010712111,8.600434396084765,0.5451915210434829,-16.568369344742482,-0.6651297042112907,16.57492488417164,0.6585741968723599,7.7862239640223345,40.908400000000746,2.739800000000029,0.8468961715698242,-2.529658883824746,1.1784213736206768,1.225000755012552,0.9689474326372146
9.0,21437292.22759067,1685672.5552237912,-8959475.492889594,-881968.3258460753,13083016.011589568,13281520.964078793,835.2720346772142,845.8453821086838,839.5672747820018,832.9881771754034,849.2865058017409,836.947883786907,22.522902091891225,1.4556479081175138,200.0,300.0,0.35,219452.369392,1.0151727210540276,8.600434396084765,0.5451915210434829,-16.568369222821346,-0.6651296918520234,16.574970336194088,0.6585287884294856,7.785692204914566,40.908400000000746,2.739800000000029,0.7768669128417969,-2.537426819819627,1.182352887692515,1.2249111129338544,0.9337374514341354
