case,heat out c,heat out g,heat in c,heat in g,Total Heat source,Net heat source,T_G_avg,T_C_avg,T_G_max,T_G_min,T_C_max,T_C_min,V_C,V_G,T_air,T_steam,height,K_eff,convergence,V_C_rzone,V_G_rzone,Mass Flow air,Mass Flow steam,Mass Flow flue,Mass Flow gas,Total mass,A_C,A_G,Solver Iteration Elapsed Time,sink_gr,velo_G,velo_C,Total Solver Elapsed Time
0.0,21827843.54364933,1074048.6774361166,-9079261.60227346,-713084.7842176264,13097248.56739922,13109545.834594365,601.457002037536,852.3952686190727,708.5219177983491,543.1924078757581,910.6266945538879,637.045598416219,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,6270.06769692,1.0009389198908352,8.712434054480878,0.4370946283735884,-16.78633889852509,-0.5359783194304472,16.79056524271888,0.5317532509250773,7.864000760239314,41.440400000000494,2.207800000000013,0.9212088584899902,-2.073104170433625,0.9295612816608936,1.2335254097299388,1.584297096994188
1.0,21723548.503002584,1191318.892526279,-9080049.63726731,-712121.794063547,13097248.567392172,13122695.964198004,697.1586117598466,846.6505358341701,757.9748982834531,664.0879288208366,886.1632459067642,717.0637421899153,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,12540.1353938,1.001942957459721,8.712434054480878,0.4370946283735884,-16.78633897238549,-0.5359783199959376,16.79218844555529,0.5301301413599064,7.858979191113193,41.440400000000494,2.207800000000013,0.994049072265625,-2.263153648754582,1.0246950247189366,1.2275680564981062,2.581267580986023
2.0,21700312.38922477,1220349.964684585,-9080225.612556266,-711882.7214893508,13097248.567394208,13128554.01986374,720.880287228946,845.3698828738335,770.9673872674243,693.6507881705603,879.2124419920817,737.2321318794438,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,15675.169242299999,1.002390231223638,8.712434054480878,0.4370946283735884,-16.78633888923924,-0.5359783167982375,16.79252708214176,0.529791115165331,7.858388419720235,41.440400000000494,2.207800000000013,0.9959130287170409,-2.3102614462188327,1.0481978753101489,1.2262394685233793,3.01361786643664
3.0,21668790.867318977,1268976.5310377688,-9080465.992846752,-711481.8802856283,13097248.567402804,13145819.525224365,760.6300362992422,843.6131132744217,793.4277194304758,742.8079575493863,867.1793797243963,771.30204515041,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,25080.2707877,1.0037084856083778,8.712434054480878,0.4370946283735884,-16.78633883783035,-0.5359783164762553,16.793045129880188,0.5292729860719239,7.856366179943173,41.440400000000494,2.207800000000013,1.050969123840332,-2.3891986667746705,1.087511638077751,1.2244153245489555,3.961752115090688
4.0,21662210.772959173,1286927.4711273576,-9080517.674238993,-711333.807304911,13097248.567393307,13157286.762542626,775.3078440742421,843.2276407763147,801.9835714152406,760.814985387252,862.8075070300158,783.979711786993,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,31350.338484599997,1.0045840311299268,8.712434054480878,0.4370946283735884,-16.786339032931732,-0.5359783222826289,16.793220613926994,0.5290970832389126,7.854406182582573,41.440400000000494,2.207800000000013,0.7778379917144775,-2.4183466583145004,1.1020032531258055,1.2240146666899472,4.038069272504912
5.0,21660959.154461365,1299557.2471213462,-9080529.14429354,-711229.5844204902,13097248.567396237,13168757.67286868,785.635761826762,843.1314658270401,808.1206056923497,773.4214132717822,859.8750188674593,792.9409627330893,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,37620.4061815,1.0054598570916988,8.712434054480878,0.4370946283735884,-16.786339023849823,-0.5359783226941826,16.793338940660707,0.5289787637566357,7.85206051749773,41.440400000000494,2.207800000000013,0.7069380283355713,-2.4388564009061198,1.1121941391817218,1.2239147290354773,3.801498572296567
6.0,21664667.998713773,1312894.3806969991,-9080504.303440623,-711119.4815703972,13097248.567394262,13185938.594399756,796.5430222713175,843.2902512617351,814.7446045455441,786.6568919924323,857.0437543972415,802.4534434023811,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,47025.507726899996,1.0067716533399456,8.712434054480878,0.4370946283735884,-16.78633899558914,-0.5359783215748608,16.793458426107275,0.5288592429361278,7.848055170039072,41.440400000000494,2.207800000000013,0.7220070362091064,-2.4605166338260607,1.1229539762669811,1.224080176915514,4.392188559373221
7.0,21678672.639680687,1327296.350909648,-9080404.035270756,-711000.5303822062,13097248.567395553,13214564.424937373,808.3219442265988,843.9788277299568,822.1436299284877,800.8159156997505,854.5787221576448,812.8078748569279,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,62700.676969199994,1.0089572902994195,8.712434054480878,0.4370946283735884,-16.786338916311415,-0.5359783187843092,16.79357950029553,0.528737985051395,7.840582042370213,41.440400000000494,2.207800000000013,0.7483911514282227,-2.4839078597341717,1.1345732041105132,1.2247975645388407,3.8935622517930137
8.0,21697355.05144345,1336795.2328600937,-9080268.589187272,-710922.0372848344,13097248.56739577,13242959.657831434,816.0910623538769,844.9212209080513,827.236546623691,810.0390799594153,853.5456473525792,819.7073555165587,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,78375.8462115,1.0111253206874609,8.712434054480878,0.4370946283735884,-16.786338911154868,-0.5359783185028528,16.793653694089507,0.5286638036641422,7.832626630623115,41.440400000000494,2.207800000000013,0.8314328193664551,-2.4993361984150715,1.1422384685037021,1.2257795970219385,3.0878884443309573
9.0,21838892.39903371,1062718.164094298,-9079172.886791402,-713181.6010188403,13097248.567393254,13109256.075317768,591.7724962559621,853.0253800850643,712.0561330060699,533.1630656447194,910.6078045049218,640.3551734207609,22.779314295244422,1.2016357047601012,200.0,300.0,0.35,6270.06769692,1.0009167962158407,8.712434054480878,0.4370946283735884,-16.78633883297239,-0.5359783180462427,16.7896918380698,0.5326262987120141,7.863081461809625,41.440400000000494,2.207800000000013,1.0327479839324951,-2.0538721504401787,0.920505184281513,1.2341392384441383,1.722208681106567
