Time,Q_bed
8.001199999994704,0.0
8.004199999994697,3470581.5904449234
8.00719999999469,7888972.973402387
8.010299999994682,5728662.389764416
8.013299999994675,4218111.488344617
8.016399999994668,6440852.577450909
8.019399999994661,1.2441146166356413E7
8.022399999994654,1.368759354381978E7
8.025499999994647,1.0883424823712561E7
8.02849999999464,444192.7414703888
8.031599999994633,-1.0406744995774852E7
8.034599999994626,-1.5069300989523865E7
8.037599999994619,-1.7836241057341192E7
8.040699999994612,-2.169570079044856E7
8.043699999994605,-2.2644634172363218E7
8.046799999994597,-1.8610794037343495E7
8.04979999999459,-1.579788452845697E7
8.052799999994583,-2.0182270070858814E7
8.055899999994576,-2.4629309216694687E7
8.05889999999457,-2.531120266087525E7
8.061999999994562,-2.8514888167875677E7
8.064999999994555,-3.3876137697926514E7
8.067999999994548,-4.137167069365225E7
8.07109999999454,-4.2816865020704694E7
8.074099999994534,-4.325965699179448E7
8.077199999994527,-4.403327086576257E7
8.08019999999452,-4.641781798167526E7
8.083299999994512,-4.325863890059855E7
8.086299999994505,-4.560448712602187E7
8.089299999994498,-4.516038877044622E7
8.092399999994491,-4.207177450068436E7
8.095399999994484,-4.2184873888403505E7
8.098499999994477,-3.9578545147580564E7
8.10149999999447,-3.867797512607482E7
8.104499999994463,-3.877661689257369E7
8.107599999994456,-4.0335301875368774E7
8.110599999994449,-4.150778551780478E7
8.113699999994441,-4.241134706022071E7
8.116699999994434,-4.415920541972638E7
8.119699999994427,-4.582116455779132E7
8.12279999999442,-4.686602517886658E7
8.125799999994413,-4.6216389059974775E7
8.128899999994406,-4.4706343217527755E7
8.131899999994399,-4.8617766414412156E7
8.134899999994392,-5.146883769489491E7
8.137999999994385,-5.04676332039822E7
8.140999999994378,-5.42311476010737E7
8.14409999999437,-5.464599032071897E7
8.147099999994364,-5.625863506943279E7
8.150099999994357,-5.889056155722429E7
8.15319999999435,-5.590408650301207E7
8.156199999994342,-6.144187200389693E7
8.159299999994335,-6.881025110658392E7
8.162299999994328,-7.282235069829963E7
8.165399999994321,-7.306652375034575E7
8.168399999994314,-8.17245166017368E7
8.171399999994307,-8.469024994210272E7
8.1744999999943,-8.817179373768587E7
8.177499999994293,-8.79203054195504E7
8.180599999994286,-9.446571650072297E7
8.183599999994279,-9.345445967270605E7
8.186599999994272,-9.370286846651678E7
8.189699999994264,-9.283257079414573E7
8.192699999994257,-8.992249798946497E7
8.19579999999425,-9.162771097603936E7
8.198799999994243,-8.623132992948255E7
8.201799999994236,-8.33922358901279E7
8.204899999994229,-8.469996210440639E7
8.207899999994222,-8.361476739844449E7
8.210999999994215,-8.220137459986493E7
8.213999999994208,-8.266058485065822E7
8.2169999999942,-8.26510976479143E7
8.220099999994193,-7.994871603976858E7
8.223099999994187,-8.023551652607909E7
8.22619999999418,-7.948016149108036E7
8.229199999994172,-8.149158523865141E7
8.232199999994165,-8.007607935704373E7
8.235299999994158,-7.942321809666367E7
8.238299999994151,-7.804155619878644E7
8.241399999994144,-7.446271368887945E7
8.244399999994137,-7.51974776651335E7
8.24749999999413,-7.599609300207514E7
8.250499999994123,-7.81951592238429E7
8.253499999994116,-8.03123594120316E7
8.256599999994108,-7.631615638028425E7
8.259599999994101,-7.52073434811262E7
8.262699999994094,-7.736874485159224E7
8.265699999994087,-7.447405089676222E7
8.26869999999408,-7.439457456134447E7
8.271799999994073,-7.361094497404616E7
8.274799999994066,-7.04454194772869E7
8.277899999994059,-6.861832503306949E7
8.280899999994052,-6.59746221677209E7
8.283899999994045,-6.234440906203798E7
8.286999999994038,-5.9291846412127964E7
8.28999999999403,-5.744291026164416E7
8.293099999994023,-5.495185874876434E7
8.296099999994016,-5.074251124510359E7
8.29909999999401,-4.977155829901853E7
8.302199999994002,-4.7503022883574605E7
8.305199999993995,-4.5751446950669475E7
8.308299999993988,-4.300136880090039E7
8.311299999993981,-4.067260667185479E7
8.314299999993974,-3.797041222546742E7
8.317399999993967,-3.666809053842444E7
8.32039999999396,-3.68285916202536E7
8.323499999993953,-3.339308412776295E7
8.326499999993946,-3.2630548107403357E7
8.329599999993938,-3.0639605564371686E7
8.332599999993931,-2.934641690052895E7
8.335599999993924,-2.3851772832429674E7
8.338699999993917,-2.1430332559626587E7
8.34169999999391,-1.91379358457702E7
8.344799999993903,-1.4667641283758117E7
8.347799999993896,-1.6074933245909175E7
8.350799999993889,-1.7566655702025365E7
8.353899999993882,-1.772499992560155E7
8.356899999993875,-1.7357785706954855E7
8.359999999993867,-1.776767694273563E7
8.36299999999386,-1.894807442628851E7
8.365999999993853,-2.0705095044747654E7
8.369099999993846,-2.187767429576336E7
8.37209999999384,-2.2996284105122097E7
8.375199999993832,-2.4704638481380776E7
8.378199999993825,-2.3831070000475287E7
8.381199999993818,-2.5077147469932318E7
8.38429999999381,-2.440768669663705E7
8.387299999993804,-2.4620843832512688E7
8.390399999993797,-2.4514962715519547E7
8.39339999999379,-2.5570564762115058E7
8.396399999993783,-2.4187577158543553E7
8.399499999993775,-2.383864923979811E7
8.402499999993768,-2.372176556817888E7
8.405599999993761,-2.435231587440079E7
8.408599999993754,-2.232255467675869E7
8.411699999993747,-2.155683849536325E7
8.41469999999374,-2.1434890924245525E7
8.417699999993733,-2.018653999740716E7
8.420799999993726,-2.0447380289185353E7
8.423799999993719,-1.996421842888736E7
8.426899999993712,-1.81496480732933E7
8.429899999993705,-1.6669647140005449E7
8.432899999993698,-1.5063951397880903E7
8.43599999999369,-1.5213402579690121E7
8.438999999993683,-1.441160926483802E7
8.442099999993676,-1.412716150142535E7
8.44509999999367,-1.4256771041890303E7
8.448099999993662,-1.34968429331845E7
8.451199999993655,-1.109858535128466E7
8.454199999993648,-9848385.121640956
8.45729999999364,-8516111.714552568
8.460299999993634,-1.0359686997475466E7
8.463299999993627,-9389928.5370029
8.46639999999362,-9113456.116618728
8.469399999993612,-8125936.368929663
8.472499999993605,-7923123.191449732
8.475499999993598,-6249393.328102983
8.478499999993591,-5731443.670510424
8.481599999993584,-4951246.138026304
8.484599999993577,-3289357.4755142187
8.48769999999357,-2897189.2665975518
8.490699999993563,172543.29072809164
8.493799999993556,265079.4609906022
8.496799999993549,1725226.6913988774
8.499799999993542,2220165.8090242194
8.502899999993534,3848520.6058915183
8.505899999993527,3744331.8301922427
8.50899999999352,6102483.805956473
8.511999999993513,6345851.001683629
8.514999999993506,5805633.338472085
8.518099999993499,5118931.750385123
8.521099999993492,8700003.219601244
8.524199999993485,1.128998476422123E7
8.527199999993478,1.3706926261627363E7
8.53019999999347,1.4678413361816395E7
8.533299999993464,1.6749093032902934E7
8.536299999993457,1.719573215997877E7
8.53939999999345,1.734365940338041E7
8.542399999993442,1.9261309520438325E7
8.545399999993435,2.2058711283158872E7
8.548499999993428,2.14783919646956E7
8.551499999993421,2.3542969926308244E7
8.554599999993414,2.354278981185548E7
8.557599999993407,2.430151780506642E7
8.5605999999934,2.717145664276534E7
8.563699999993393,3.167325931941001E7
8.566699999993386,3.0807227655855034E7
8.569799999993378,2.8937979883649692E7
8.572799999993372,3.1352035120790225E7
8.575899999993364,2.896465192872171E7
8.578899999993357,3.0996647844359756E7
8.58189999999335,3.210867921691361E7
8.584999999993343,3.124540938251793E7
8.587999999993336,2.792173500192047E7
8.591099999993329,2.626428331600044E7
8.594099999993322,2.5067630245793216E7
8.597099999993315,2.461452328788182E7
8.600199999993308,2.6833410809631564E7
8.6031999999933,2.408500164015641E7
8.606299999993293,2.2426222118236337E7
8.609299999993286,2.1942813023230035E7
8.61229999999328,2.203695159668149E7
8.615399999993272,2.0915204644315455E7
8.618399999993265,2.2630948749026604E7
8.621499999993258,2.2354209523953367E7
8.624499999993251,1.9290899036191072E7
8.627499999993244,2.019223219211604E7
8.630599999993237,2.2233500308759615E7
8.63359999999323,2.1859319127779175E7
8.636699999993223,2.3759462357579473E7
8.639699999993216,2.0150097661586378E7
8.642699999993209,2.0179451680724192E7
8.645799999993201,1.799302330308739E7
8.648799999993194,2.248330319366309E7
8.651899999993187,2.215879067317883E7
8.65489999999318,2.4062360348234516E7
8.657999999993173,2.877927108677643E7
8.660999999993166,2.7873875032912727E7
8.663999999993159,2.2595277803043738E7
8.667099999993152,2.2130832116876595E7
8.670099999993145,2.4135428798725463E7
8.673199999993138,2.2262735879823025E7
8.67619999999313,6715299.057887384
8.679199999993124,1.0283068032253053E7
8.682299999993116,1.2901055691390956E7
8.68529999999311,1.4571363311482621E7
8.688399999993102,1.4326554308466652E7
8.691399999993095,1.4833392434726292E7
8.694399999993088,1.2447436102190956E7
8.69749999999308,1.4157298735564703E7
8.700499999993074,1.3499407718639288E7
8.703599999993067,9001991.767947484
8.70659999999306,1.0477240401236553E7
8.709599999993053,1.0575372624664878E7
8.712699999993045,1.0549509384293996E7
8.715699999993038,1.1888622405646952E7
8.718799999993031,1.1403895981330043E7
8.721799999993024,1.3761283367856566E7
8.724799999993017,1.2113475678857284E7
8.72789999999301,1.5260513126396896E7
8.730899999993003,1.5401363260763636E7
8.733999999992996,1.6399815076172965E7
8.736999999992989,1.5273062215681342E7
8.740099999992982,1.697432354077532E7
8.743099999992975,1.5385729505935682E7
8.746099999992968,1.4226263264501983E7
8.74919999999296,1.4818824565835122E7
8.752199999992953,1.6322481926327946E7
8.755299999992946,1.9499172120312955E7
8.75829999999294,1.770485442842325E7
8.761299999992932,1.4541794561428986E7
8.764399999992925,1.5511126935305538E7
8.767399999992918,1.6994031147560287E7
8.77049999999291,2.019667732050856E7
8.773499999992904,2.2484961882184535E7
8.776499999992897,2.7307010382357255E7
8.77959999999289,2.975065743300665E7
8.782599999992883,3.6591823057876036E7
8.785699999992875,4.0313161011303835E7
8.788699999992868,4.263754935718108E7
8.791699999992861,4.55457768787168E7
8.794799999992854,4.748351725665171E7
8.797799999992847,4.548510549552664E7
